item_id,sentence_mask,options,opt_len,opt_pos,answer,orl_options,answer_word,orl_sentence
1578_0,"['once', 'upon', 'a', 'time', ',', 'two', 'brothers', ',', 'who', 'lived', 'on', 'neighboring', 'farms', ',', 'fell', 'into', 'conflict', '.', 'it', 'was', 'the', 'first', 'serious', '[MASK]', 'in', 'their', '40', 'years', ""'"", 'brotherhood', '.']","[['distance'], ['gap'], ['routine'], ['regret']]","[1, 1, 1, 1]",24,B,"['distance', 'routine', 'regret']",gap,"Once upon a time , two brothers , who lived on neighboring farms , fell into conflict . It was the first serious [MASK] in their 40 years' brotherhood ."
1578_1,"['then', 'one', 'day', 'the', 'long', 'tie', 'fell', 'apart', '.', 'it', 'resulted', 'from', 'a', 'small', 'misunderstanding', ',', 'and', 'then', 'grew', 'into', 'a', 'major', 'difference', ',', 'and', 'eventually', 'exploded', 'into', 'an', 'exchange', 'of', '[MASK]', 'words', 'followed', 'by', 'weeks', 'of', 'silence', '.']","[['bitter'], ['acute'], ['absurd'], ['genuine']]","[1, 1, 1, 1]",32,A,"['acute', 'absurd', 'genuine']",bitter,"Then one day the long tie fell apart . It resulted from a small misunderstanding , and then grew into a major difference , and eventually exploded into an exchange of [MASK] words followed by weeks of silence ."
1578_2,"['very', 'early', 'one', 'morning', 'there', 'was', 'a', '(', 'n', ')', '[MASK]', 'on', 'the', 'elder', 'brother', ""'"", 's', 'door', '.']","[['response'], ['remark'], ['delivery'], ['knock']]","[1, 1, 1, 1]",11,D,"['response', 'remark', 'delivery']",knock,Very early one morning there was a(n) [MASK] on the elder brother's door .
1578_3,"['he', 'opened', 'it', 'to', 'find', 'a', 'man', 'with', 'a', 'carpenter', ""'"", 's', 'tool', '##box', '.', 'i', ""'"", 'm', '[MASK]', 'for', 'a', 'few', 'days', ""'"", 'work', ',', 'he', 'said', '.']","[['arranging'], ['qualifying'], ['hunting'], ['accounting']]","[1, 1, 1, 1]",19,C,"['arranging', 'qualifying', 'accounting']",hunting,"He opened it to find a man with a carpenter's toolbox . I'm [MASK] for a few days' work , he said ."
1578_4,"['perhaps', 'you', 'would', 'have', 'a', 'few', 'small', 'jobs', 'here', 'and', 'there', '.', 'could', 'i', 'help', 'you', '?', 'well', 'as', 'it', 'happens', 'there', 'is', ',', 'said', 'the', 'elder', 'brother', ',', '[MASK]', 'across', 'the', 'creek', 'to', 'his', 'brother', ""'"", 's', 'farm', '.']","[['walking'], ['leading'], ['expanding'], ['pointing']]","[1, 1, 1, 1]",30,D,"['walking', 'leading', 'expanding']",pointing,"Perhaps you would have a few small jobs here and there . Could I help you ? Well as it happens there is , said the elder brother , [MASK] across the creek to his brother's farm ."
1578_5,"['my', 'younger', 'brother', 'lives', 'there', '.', 'a', 'conflict', 'broke', 'out', 'between', 'us', 'and', 'he', 'used', 'his', 'bull', '##do', '##zer', 'to', 'dig', 'the', 'creek', 'to', '[MASK]', 'me', 'and', 'thus', 'a', 'gap', 'exists', 'between', 'us', '.']","[['resist'], ['ann', '##oy'], ['advocate'], ['concern']]","[1, 2, 1, 1]",25,B,"['resist', 'advocate', 'concern']",annoy,My younger brother lives there . A conflict broke out between us and he used his bulldozer to dig the creek to [MASK] me and thus a gap exists between us .
1578_6,"['my', 'younger', 'brother', 'lives', 'there', '.', 'a', 'conflict', 'broke', 'out', 'between', 'us', 'and', 'he', 'used', 'his', 'bull', '##do', '##zer', 'to', 'dig', 'the', 'creek', 'to', 'ann', '##oy', 'me', 'and', 'thus', 'a', 'gap', '[MASK]', 'between', 'us', '.']","[['fills'], ['narrows'], ['exists'], ['deposits']]","[1, 1, 1, 1]",32,C,"['fills', 'narrows', 'deposits']",exists,My younger brother lives there . A conflict broke out between us and he used his bulldozer to dig the creek to annoy me and thus a gap [MASK] between us .
1578_7,"['and', 'i', ""'"", 'll', 'do', 'something', 'to', '[MASK]', 'him', 'back', '.']","[['call'], ['hold'], ['bring'], ['pay']]","[1, 1, 1, 1]",8,D,"['call', 'hold', 'bring']",pay,And I'll do something to [MASK] him back .
1578_8,"['see', 'that', 'pile', 'of', 'wood', 'over', 'there', '?', 'i', 'want', 'you', 'to', 'build', 'me', 'a', '3', '-', 'metre', '-', 'high', 'fence', ',', 'so', 'i', 'won', ""'"", 't', 'need', 'to', 'see', 'him', 'or', 'his', 'place', 'anymore', '.', 'the', 'carpenter', 'said', ',', 'i', 'think', 'i', 'understand', 'the', '[MASK]', '.']","[['situation'], ['trend'], ['duty'], ['practice']]","[1, 1, 1, 1]",46,A,"['trend', 'duty', 'practice']",situation,"See that pile of wood over there ? I want you to build me a 3-metre-high fence , so I won't need to see him or his place anymore . The carpenter said , I think I understand the [MASK] ."
1578_9,"['show', 'me', 'the', 'nails', 'and', 'the', 'digger', 'and', 'i', ""'"", 'll', 'be', 'able', 'to', 'do', 'a', 'job', 'that', '[MASK]', 'you', '.']","[['strikes'], ['attracts'], ['sat', '##is', '##fies'], ['fr', '##ust', '##rates']]","[1, 1, 3, 3]",19,C,"['strikes', 'attracts', 'frustrates']",satisfies,Show me the nails and the digger and I'll be able to do a job that [MASK] you .
1578_10,"['the', 'elder', 'brother', 'had', 'to', 'go', 'to', 'town', 'for', 'supplies', ',', 'so', 'he', 'helped', 'the', 'carpenter', 'get', 'the', 'materials', 'ready', 'and', 'then', 'he', 'was', '[MASK]', 'for', 'the', 'day', '.']","[['around'], ['off'], ['over'], ['back']]","[1, 1, 1, 1]",25,B,"['around', 'over', 'back']",off,"The elder brother had to go to town for supplies , so he helped the carpenter get the materials ready and then he was [MASK] for the day ."
1578_11,"['about', 'sunset', '[MASK]', 'the', 'elder', 'brother', 'returned', ',', 'the', 'carpenter', 'had', 'just', 'finished', 'his', 'job', '.']","[['when'], ['until'], ['while'], ['since']]","[1, 1, 1, 1]",3,A,"['until', 'while', 'since']",when,"About sunset [MASK] the elder brother returned , the carpenter had just finished his job ."
1578_12,"['much', 'to', 'the', 'elder', 'brother', ""'"", 's', 'shock', ':', 'there', 'was', 'no', '[MASK]', 'there', 'at', 'all', ';', 'instead', 'there', 'was', 'a', 'bridge', ',', 'stretching', 'from', 'one', 'side', 'of', 'the', 'creek', 'to', 'the', 'other', '.']","[['room'], ['fence'], ['tool', '##box'], ['farm']]","[1, 1, 2, 1]",13,B,"['room', 'toolbox', 'farm']",fence,"Much to the elder brother's shock : there was no [MASK] there at all ; instead there was a bridge , stretching from one side of the creek to the other ."
1578_13,"['much', 'to', 'the', 'elder', 'brother', ""'"", 's', 'shock', ':', 'there', 'was', 'no', 'fence', 'there', 'at', 'all', ';', 'instead', 'there', 'was', 'a', 'bridge', ',', '[MASK]', 'from', 'one', 'side', 'of', 'the', 'creek', 'to', 'the', 'other', '.']","[['wandering'], ['ranging'], ['transporting'], ['stretching']]","[1, 1, 1, 1]",24,D,"['wandering', 'ranging', 'transporting']",stretching,"Much to the elder brother's shock : there was no fence there at all ; instead there was a bridge , [MASK] from one side of the creek to the other ."
1578_14,"['and', 'his', 'younger', 'brother', 'was', 'coming', 'across', 'the', 'bridge', '.', 'you', 'are', 'quite', 'a', 'fellow', 'to', 'build', 'this', 'bridge', 'regardless', 'of', 'all', 'i', ""'"", 've', 'said', 'and', 'done', ',', 'he', 'said', '.', 'the', 'two', 'brothers', 'then', 'met', 'in', 'the', 'middle', 'of', 'the', 'bridge', ',', 'taking', 'each', 'other', ""'"", 's', 'hand', 'and', '[MASK]', '.']","[['trembled'], ['embraced'], ['fought'], ['swore']]","[1, 1, 1, 1]",52,B,"['trembled', 'fought', 'swore']",embraced,"And his younger brother was coming across the bridge . You are quite a fellow to build this bridge regardless of all I've said and done , he said . The two brothers then met in the middle of the bridge , taking each other's hand and [MASK] ."
1578_15,"['they', 'then', 'turned', 'to', 'see', 'the', 'carpenter', '[MASK]', 'his', 'tool', '##box', 'on', 'his', 'shoulder', '.']","[['remove'], ['spread'], ['display'], ['raise']]","[1, 1, 1, 1]",8,D,"['remove', 'spread', 'display']",raise,They then turned to see the carpenter [MASK] his toolbox on his shoulder .
1578_16,"['no', ',', 'wait', ',', 'please', '[MASK]', 'a', 'few', 'days', '.']","[['play'], ['wander'], ['stay'], ['enjoy']]","[1, 1, 1, 1]",6,C,"['play', 'wander', 'enjoy']",stay,"No , wait , please [MASK] a few days ."
1578_17,"['i', ""'"", 've', 'a', 'lot', 'of', 'other', 'projects', 'for', 'you', ',', 'said', 'the', 'older', 'brother', '.', 'i', ""'"", 'd', 'love', 'to', 'stay', 'on', ',', 'the', 'carpenter', 'said', ',', 'but', 'i', 'have', 'many', 'more', '[MASK]', 'to', 'build', '.']","[['bridges'], ['farms'], ['houses'], ['fences']]","[1, 1, 1, 1]",34,A,"['farms', 'houses', 'fences']",bridges,"I've a lot of other projects for you , said the older brother . I'd love to stay on , the carpenter said , but I have many more [MASK] to build ."
3878_0,"['my', 'tenth', 'christmas', 'was', 'one', 'i', 'was', 'not', 'looking', 'forward', 'to', '.', 'money', 'was', 'tight', '.', 'mom', 'said', 'we', 'were', 'old', 'enough', 'not', 'to', 'count', 'on', '[MASK]', '.']","[['games'], ['parties'], ['gifts'], ['trips']]","[1, 1, 1, 1]",27,C,"['games', 'parties', 'trips']",gifts,My tenth Christmas was one I was not looking forward to . Money was tight . Mom said we were old enough not to count on [MASK] .
3878_1,"['just', 'being', 'together', 'would', 'be', 'enough', '.', 'we', 'weren', ""'"", 't', 'the', 'only', 'family', 'in', 'our', 'small', 'community', 'who', 'would', 'have', 'a', '[MASK]', 'christmas', '.']","[['simple'], ['regular'], ['grand'], ['peaceful']]","[1, 1, 1, 1]",23,A,"['regular', 'grand', 'peaceful']",simple,Just being together would be enough . We weren't the only family in our small community who would have a [MASK] Christmas .
3878_2,"['but', 'the', 'knowledge', 'that', 'others', 'were', 'going', 'through', 'the', 'same', 'thing', 'didn', ""'"", 't', '[MASK]', 'much', '.']","[['judge'], ['help'], ['cover'], ['pay']]","[1, 1, 1, 1]",15,B,"['judge', 'cover', 'pay']",help,But the knowledge that others were going through the same thing didn't [MASK] much .
3878_3,"['one', 'night', 'we', 'had', 'a', 'small', 'pity', 'party', 'for', 'each', 'other', '.', 'how', 'can', 'i', 'even', 'wear', 'that', 'same', 'old', 'dress', 'one', 'more', 'time', '?', 'i', '[MASK]', '.']","[['begged'], ['insisted'], ['laughed'], ['complained']]","[1, 1, 1, 1]",27,D,"['begged', 'insisted', 'laughed']",complained,One night we had a small pity party for each other . How can I even wear that same old dress one more time ? I [MASK] .
3878_4,"['i', 'know', ',', 'said', 'my', 'sister', '.', 'i', 'think', 'i', 'might', 'as', 'well', 'give', 'up', 'asking', 'for', 'a', '[MASK]', '.']","[['tree'], ['light'], ['dress'], ['horse']]","[1, 1, 1, 1]",19,D,"['tree', 'light', 'dress']",horse,"I know , said my sister . I think I might as well give up asking for a [MASK] ."
3878_5,"['the', 'next', 'day', ',', 'mom', 'told', 'us', 'that', 'she', 'had', 'been', 'saving', 'up', 'and', 'shopping', 'around', 'so', 'that', 'we', 'could', 'give', 'the', 'walters', 'family', 'a', 'christmas', 'basket', '.', 'if', 'anyone', 'needs', 'some', '[MASK]', ',', 'it', ""'"", 's', 'the', 'walters', '.']","[['trust'], ['cheer'], ['praise'], ['courage']]","[1, 1, 1, 1]",33,B,"['trust', 'praise', 'courage']",cheer,"The next day , Mom told us that she had been saving up and shopping around so that we could give the Walters family a Christmas basket . If anyone needs some [MASK] , it's the Walters ."
3878_6,"['mom', 'reminded', 'us', '.', 'the', 'walters', '!', 'they', 'were', 'the', 'strange', '##st', 'people', 'we', 'knew', '.', 'how', 'could', 'mom', 'be', 'so', '[MASK]', 'with', 'them', 'when', 'our', 'own', 'family', 'didn', ""'"", 't', 'have', 'enough', '?']","[['patient'], ['strict'], ['generous'], ['popular']]","[1, 1, 1, 1]",22,C,"['patient', 'strict', 'popular']",generous,Mom reminded us . The Walters ! They were the strangest people we knew . How could Mom be so [MASK] with them when our own family didn't have enough ?
3878_7,"['mom', 'was', 'determined', '.', 'she', 'packed', 'flour', 'and', 'sugar', ',', 'a', 'small', 'turkey', ',', 'some', 'fruits', 'in', 'a', 'basket', 'and', 'asked', 'us', 'to', '[MASK]', 'it', 'to', 'the', 'walters', '.']","[['deliver'], ['award'], ['show'], ['lend']]","[1, 1, 1, 1]",24,A,"['award', 'show', 'lend']",deliver,"Mom was determined . She packed flour and sugar , a small turkey , some fruits in a basket and asked us to [MASK] it to the Walters ."
3878_8,"['i', 'really', 'didn', ""'"", 't', 'like', 'to', 'have', 'anything', 'to', 'do', 'with', 'them', '.', 'not', 'wanting', 'to', 'be', '[MASK]', ',', 'we', 'left', 'the', 'basket', 'on', 'the', 'doorstep', 'and', 'hid', 'behind', 'a', 'nearby', 'bush', '.']","[['excused'], ['caught'], ['realized'], ['recognized']]","[1, 1, 1, 1]",19,D,"['excused', 'caught', 'realized']",recognized,"I really didn't like to have anything to do with them . Not wanting to be [MASK] , we left the basket on the doorstep and hid behind a nearby bush ."
3878_9,"['seeing', 'the', 'walters', 'gather', 'up', 'their', 'basket', ',', 'i', 'asked', 'in', 'whisper', ',', 'did', 'they', 'look', 'happy', '?', 'well', ',', 'yeah', ',', 'happy', ',', 'but', 'mostly', 'they', 'looked', 'like', 'they', 'were', 'thinking', ',', 'maybe', 'we', 'do', 'belong', '.', 'christmas', 'morning', 'arrived', '.', 'to', 'my', 'great', '[MASK]', ',', 'i', 'received', 'a', 'fabulous', '-', 'looking', 'dress', '.']","[['relief'], ['alarm'], ['fear'], ['surprise']]","[1, 1, 1, 1]",46,D,"['relief', 'alarm', 'fear']",surprise,"Seeing the Walters gather up their basket , I asked in whisper , Did they look happy ? Well , yeah , happy , but mostly they looked like they were thinking , Maybe we do belong . Christmas morning arrived . To my great [MASK] , I received a fabulous-looking dress ."
3878_10,"['i', 'couldn', ""'"", 't', 'believe', 'it', ""'"", 's', 'for', 'me', '.', 'i', 'was', 'about', 'to', 'speak', '[MASK]', 'we', 'noticed', 'dad', 'ride', 'up', 'atop', 'a', 'new', 'horse', '.']","[['since'], ['when'], ['after'], ['before']]","[1, 1, 1, 1]",17,B,"['since', 'after', 'before']",when,I couldn't believe it's for me . I was about to speak [MASK] we noticed Dad ride up atop a new horse .
3878_11,"['my', 'sister', 'screamed', 'and', 'ran', 'out', '.', 'she', 'couldn', ""'"", 't', '[MASK]', 'to', 'meet', 'her', 'gift', '.']","[['expect'], ['intend'], ['wait'], ['decide']]","[1, 1, 1, 1]",12,C,"['expect', 'intend', 'decide']",wait,My sister screamed and ran out . She couldn't [MASK] to meet her gift .
3878_12,"['mom', ',', 'how', 'did', 'you', 'do', 'all', 'this', '?', 'i', 'asked', '.', 'we', 'were', '[MASK]', 'for', 'a', 'no', '-', 'present', 'christmas', '.']","[['ready'], ['eager'], ['known'], ['responsible']]","[1, 1, 1, 1]",15,A,"['eager', 'known', 'responsible']",ready,"Mom , how did you do all this ? I asked . We were [MASK] for a no-present Christmas ."
3878_13,"['oh', ',', 'not', 'necessarily', '[MASK]', 'but', 'just', 'helping', 'each', 'other', '.']","[['checking'], ['trading'], ['he', '##sit', '##ating'], ['quarrel', '##ing']]","[1, 1, 3, 2]",5,B,"['checking', 'hesitating', 'quarreling']",trading,"Oh , not necessarily [MASK] but just helping each other ."
3878_14,"['mrs', '.', 'olsen', 'at', 'the', 'dress', 'shop', 'let', 'me', 'bring', 'your', 'gift', 'home', '.', 'dad', 'offered', 'to', 'hang', 'up', 'mrs', '.', 'marshall', ""'"", 's', 'tree', 'lights', '.', 'mr', '.', 'jones', 'had', 'a', 'horse', 'and', 'he', 'was', '[MASK]', 'to', 'know', 'we', 'had', 'someone', 'to', 'love', 'it', '.']","[['proud'], ['afraid'], ['happy'], ['worried']]","[1, 1, 1, 1]",37,C,"['proud', 'afraid', 'worried']",happy,Mrs . Olsen at the dress shop let me bring your gift home . Dad offered to hang up Mrs . Marshall's tree lights . Mr . Jones had a horse and he was [MASK] to know we had someone to love it .
3878_15,"['i', 'thought', 'since', 'you', 'were', 'giving', 'away', 'food', 'to', 'the', 'walters', ',', 'we', 'would', 'never', 'have', 'enough', '.', 'they', 'really', 'don', ""'"", 't', 'have', 'anything', 'to', 'give', 'in', '[MASK]', '.']","[['return'], ['store'], ['vain'], ['effect']]","[1, 1, 1, 1]",29,A,"['store', 'vain', 'effect']",return,"I thought since you were giving away food to the Walters , we would never have enough . They really don't have anything to give in [MASK] ."
3878_16,"['we', 'are', 'like', 'a', 'big', 'family', '.', 'never', '[MASK]', 'who', 'can', 'or', 'who', 'can', ""'"", 't', 'give', '.']","[['tease'], ['forget'], ['mind'], ['ignore']]","[1, 1, 1, 1]",9,C,"['tease', 'forget', 'ignore']",mind,We are like a big family . Never [MASK] who can or who can't give .
3878_17,"['the', 'most', 'important', 'is', 'that', 'we', 'should', 'listen', 'to', 'our', 'hearts', '.', 'perhaps', 'the', 'right', 'gifts', 'will', 'end', 'up', 'with', 'the', 'right', 'families', '.', 'mom', 'always', 'knew', '[MASK]', '.']","[['truth'], ['duty'], ['dreams'], ['choices']]","[1, 1, 1, 1]",28,A,"['duty', 'dreams', 'choices']",truth,The most important is that we should listen to our hearts . Perhaps the right gifts will end up with the right families . Mom always knew [MASK] .
3878_18,"['thinking', 'about', 'the', 'expression', 'on', 'the', 'walters', ""'"", 's', 'faces', 'when', 'they', 'discovered', 'the', 'christmas', 'basket', ',', 'i', 'realized', 'their', '[MASK]', 'feeling', 'was', 'more', 'precious', 'than', 'any', 'of', 'the', 'gifts', '.']","[['inspiring'], ['relaxing'], ['satisfying'], ['belonging']]","[1, 1, 1, 1]",21,D,"['inspiring', 'relaxing', 'satisfying']",belonging,"Thinking about the expression on the Walters's faces when they discovered the Christmas basket , I realized their [MASK] feeling was more precious than any of the gifts ."
3878_19,"['that', 'was', 'the', 'christmas', 'that', 'i', 'learned', 'about', 'the', 'magic', 'of', '[MASK]', '.']","[['believing'], ['giving'], ['for', '##giving'], ['communicating']]","[1, 1, 2, 1]",12,B,"['believing', 'forgiving', 'communicating']",giving,That was the Christmas that I learned about the magic of [MASK] .
234_0,"['life', 'is', 'not', 'always', 'smooth', '.', 'there', 'was', 'a', 'man', 'who', 'had', '[MASK]', 'numerous', 'failures', 'in', 'his', 'life', '.']","[['achieved'], ['undergone'], ['tried'], ['undertook']]","[1, 1, 1, 1]",13,B,"['achieved', 'tried', 'undertook']",undergone,Life is not always smooth . There was a man who had [MASK] numerous failures in his life .
234_1,"['but', 'he', 'said', ',', 'one', 'success', 'is', '[MASK]', 'for', 'me', '!']","[['great'], ['important'], ['valuable'], ['enough']]","[1, 1, 1, 1]",8,D,"['great', 'important', 'valuable']",enough,"But he said , One success is [MASK] for me !"
234_2,"['when', 'he', 'was', 'five', 'years', 'old', ',', 'his', 'father', 'died', 'of', 'illness', 'without', 'leaving', 'him', 'any', '[MASK]', '.']","[['words'], ['money'], ['property'], ['families']]","[1, 1, 1, 1]",17,C,"['words', 'money', 'families']",property,"When he was five years old , his father died of illness without leaving him any [MASK] ."
234_3,"['since', 'then', ',', 'his', 'mother', 'worked', 'outside', '[MASK]', 'he', 'had', 'to', 'stay', 'at', 'home', 'and', 'take', 'care', 'of', 'his', 'siblings', '.']","[['while'], ['but'], ['when'], ['so']]","[1, 1, 1, 1]",8,A,"['but', 'when', 'so']",while,"Since then , his mother worked outside [MASK] he had to stay at home and take care of his siblings ."
234_4,"['he', 'learnt', 'cooking', 'since', 'then', '.', 'when', 'he', 'was', 'fourteen', ',', 'he', 'dropped', '[MASK]', 'and', 'began', 'his', 'life', 'of', 'loving', '.']","[['in'], ['out'], ['down'], ['up']]","[1, 1, 1, 1]",14,B,"['in', 'down', 'up']",out,"He learnt cooking since then . When he was fourteen , he dropped [MASK] and began his life of loving ."
234_5,"['when', 'he', 'was', 'eighteen', ',', 'he', 'married', 'a', 'girl', ',', 'who', ',', '[MASK]', ',', 'sold', 'out', 'all', 'his', 'properties', 'and', 'went', 'back', 'to', 'her', 'home', 'several', 'months', 'after', 'their', 'marriage', '.']","[['meanwhile'], ['moreover'], ['however'], ['therefore']]","[1, 1, 1, 1]",13,C,"['meanwhile', 'moreover', 'therefore']",however,"When he was eighteen , he married a girl , who , [MASK] , sold out all his properties and went back to her home several months after their marriage ."
234_6,"['when', 'he', 'was', 'twenty', ',', 'he', '[MASK]', 'his', 'job', 'from', 'electric', '##ian', 'to', 'ferry', 'staff', 'to', 'railway', 'worker', '.']","[['started'], ['took'], ['lost'], ['changed']]","[1, 1, 1, 1]",7,D,"['started', 'took', 'lost']",changed,"When he was twenty , he [MASK] his job from electrician to ferry staff to railway worker ."
234_7,"['all', 'his', 'jobs', 'were', '[MASK]', 'for', 'him', '.']","[['fit'], ['tough'], ['unusual'], ['adequate']]","[1, 1, 1, 1]",5,B,"['fit', 'unusual', 'adequate']",tough,All his jobs were [MASK] for him .
234_8,"['when', 'he', 'was', 'thirty', '-', 'five', ',', 'mis', '##fort', '##une', 'again', '[MASK]', 'on', 'him', '.']","[['fell'], ['hit'], ['put'], ['rested']]","[1, 1, 1, 1]",12,A,"['hit', 'put', 'rested']",fell,"When he was thirty-five , misfortune again [MASK] on him ."
234_9,"['when', 'he', 'was', 'driving', 'across', 'a', 'huge', 'bridge', ',', 'the', 'steel', 'ropes', 'along', 'the', 'edge', 'of', 'the', 'bridge', 'were', 'broken', 'and', 'he', 'fell', 'into', 'the', 'river', 'with', 'his', 'car', '.', 'he', 'suffered', 'such', 'severe', 'injuries', 'that', 'he', 'could', 'no', 'longer', 'continue', 'his', '[MASK]', '.']","[['life'], ['major'], ['job'], ['education']]","[1, 1, 1, 1]",43,C,"['life', 'major', 'education']",job,"When he was driving across a huge bridge , the steel ropes along the edge of the bridge were broken and he fell into the river with his car . He suffered such severe injuries that he could no longer continue his [MASK] ."
234_10,"['when', 'he', 'was', '[MASK]', ',', 'he', 'opened', 'a', 'gas', 'station', 'in', 'a', 'town', '.']","[['forty'], ['thirty', '-', 'five'], ['fifty', '-', 'three'], ['seventy']]","[1, 3, 3, 1]",4,A,"['thirty-five', 'fifty-three', 'seventy']",forty,"When he was [MASK] , he opened a gas station in a town ."
234_11,"['however', ',', 'he', 'came', 'into', 'dispute', 'because', 'he', 'beat', 'his', 'competitors', 'owing', 'to', 'the', 'billboard', 'hanging', 'problems', '.', 'when', 'he', 'was', 'forty', '-', 'seven', ',', 'he', '[MASK]', 'his', 'second', 'wife', ',', 'which', 'had', 'deeply', 'stricken', 'his', 'three', 'children', '.']","[['changed'], ['married'], ['missed'], ['divorced']]","[1, 1, 1, 1]",27,D,"['changed', 'married', 'missed']",divorced,"However , he came into dispute because he beat his competitors owing to the billboard hanging problems . When he was forty-seven , he [MASK] his second wife , which had deeply stricken his three children ."
234_12,"['however', ',', 'he', 'came', 'into', 'dispute', 'because', 'he', 'beat', 'his', 'competitors', 'owing', 'to', 'the', 'billboard', 'hanging', 'problems', '.', 'when', 'he', 'was', 'forty', '-', 'seven', ',', 'he', 'divorced', 'his', 'second', 'wife', ',', 'which', 'had', '[MASK]', 'stricken', 'his', 'three', 'children', '.']","[['deeply'], ['highly'], ['generally'], ['thick', '##ly']]","[1, 1, 1, 2]",34,A,"['highly', 'generally', 'thickly']",deeply,"However , he came into dispute because he beat his competitors owing to the billboard hanging problems . When he was forty-seven , he divorced his second wife , which had [MASK] stricken his three children ."
234_13,"['when', 'he', 'was', 'sixty', '-', 'six', ',', 'he', 'made', 'a', 'living', 'by', '[MASK]', 'his', 'chicken', '-', 'fry', '##ing', 'techniques', 'to', 'various', 'restaurants', 'in', 'different', 'places', '.']","[['learning'], ['promoting'], ['developing'], ['teaching']]","[1, 1, 1, 1]",13,B,"['learning', 'developing', 'teaching']",promoting,"When he was sixty-six , he made a living by [MASK] his chicken-frying techniques to various restaurants in different places ."
234_14,"['when', 'he', 'was', 'seventy', '-', 'five', ',', 'he', 'felt', '[MASK]', 'to', 'maintain', 'his', 'company', ',', 'so', 'he', 'transferred', 'his', 'brand', 'and', 'patent', 'to', 'others', '.']","[['powerless'], ['depressed'], ['disappointed'], ['hopeless']]","[1, 1, 1, 1]",10,A,"['depressed', 'disappointed', 'hopeless']",powerless,"When he was seventy-five , he felt [MASK] to maintain his company , so he transferred his brand and patent to others ."
234_15,"['the', 'new', 'owner', 'suggested', 'giving', 'him', 'ten', 'thousand', 'stock', 'shares', 'as', 'part', 'of', 'the', 'purchasing', 'price', '.', 'but', 'he', 'turned', 'down', 'the', 'suggestion', '.', 'later', 'the', 'price', 'of', 'the', 'stocks', 'of', 'the', 'company', 'soared', 'and', 'he', 'lost', 'the', 'chance', 'of', 'being', 'a', 'billionaire', '.', 'when', 'he', 'was', 'eighty', '-', 'eight', ',', 'he', 'achieved', 'great', 'success', 'and', 'became', 'well', '-', 'known', 'to', 'the', 'whole', 'world', '.', 'he', 'was', 'exactly', 'the', 'founder', 'of', 'kentucky', 'fried', 'chicken', ',', 'ha', 'lund', '##a', 'sand', '##oz', '.', 'he', 'often', 'said', ',', 'people', 'always', 'complain', 'about', 'the', 'bad', '[MASK]', '.']","[['difficulties'], ['mis', '##fort', '##une'], ['life'], ['weather']]","[1, 3, 1, 1]",92,D,"['difficulties', 'misfortune', 'life']",weather,"The new owner suggested giving him ten thousand stock shares as part of the purchasing price . But he turned down the suggestion . Later the price of the stocks of the company soared and he lost the chance of being a billionaire . When he was eighty-eight , he achieved great success and became well-known to the whole world . He was exactly the founder of Kentucky Fried Chicken , Ha Lunda Sandoz . He often said , People always complain about the bad [MASK] ."
234_16,"['actually', 'it', 'is', 'not', 'bad', 'at', 'all', '.', 'as', 'long', 'as', 'you', 'are', '[MASK]', 'and', 'confident', 'all', 'the', 'time', ',', 'you', 'will', 'have', 'a', 'good', 'weather', 'every', 'day', '.']","[['hard', '-', 'working'], ['brave'], ['cautious'], ['optimistic']]","[3, 1, 1, 1]",14,D,"['hard-working', 'brave', 'cautious']",optimistic,"Actually it is not bad at all . As long as you are [MASK] and confident all the time , you will have a good weather every day ."
